n,trials,sample_mean,max,min,std,n_squared,one_half_n_squared,two_n_squared,two_half_n_squared,three_n_squared,H_n,n*H_n
2,100,4,13,2,2,4,6,8,10,12,1,1
3,100,11,42,3,7,9,13.5,18,22.5,27,1.84249462,5.527483861
4,100,22,83,5,15,16,24,32,40,48,2.088510026,8.354040104
5,100,40,173,8,28,25,37.5,50,62.5,75,2.286653577,11.43326789
6,100,56,196,13,39,36,54,72,90,108,2.452308467,14.7138508
7,100,71,221,14,43,49,73.5,98,122.5,147,2.594554385,18.1618807
8,100,91,417,18,71,64,96,128,160,192,2.719157207,21.75325765
9,100,129,508,20,93,81,121.5,162,202.5,243,2.829995798,25.46996218
10,100,143,591,27,99,100,150,200,250,300,2.929800758,29.29800758
11,100,190,575,36,114,121,181.5,242,302.5,363,3.020565483,33.22622031
12,100,229,857,46,141,144,216,288,360,432,3.103788981,37.24546778
13,100,293,868,51,193,169,253.5,338,422.5,507,3.180626561,41.34814529
14,100,292,934,56,178,196,294,392,490,588,3.25198728,45.52782192
15,100,353,1100,61,226,225,337.5,450,562.5,675,3.318599199,49.77898799
16,100,433,2634,98,347,256,384,512,640,768,3.381054387,54.09687019
17,100,507,1868,96,336,289,433.5,578,722.5,867,3.439840774,58.47729315
18,100,576,2399,92,397,324,486,648,810,972,3.495365201,62.91657361
19,100,558,1731,116,316,361,541.5,722,902.5,1083,3.547970434,67.41143824
20,100,653,1955,129,389,400,600,800,1000,1200,3.597947938,71.95895877
21,50,730,2529,171,543,441,661.5,882,1102.5,1323,3.645547626,76.55650016
22,50,789,2852,187,512,484,726,968,1210,1452,3.690985391,81.2016786
23,50,884,2631,161,568,529,793.5,1058,1322.5,1587,3.734449011,85.89232726
24,50,981,2962,331,553,576,864,1152,1440,1728,3.776102829,90.62646789
25,50,990,2468,243,543,625,937.5,1250,1562.5,1875,3.81609149,95.40228724
26,50,1067,3228,211,743,676,1014,1352,1690,2028,3.854542972,100.2181173
27,50,1179,3284,357,736,729,1093.5,1458,1822.5,2187,3.891571049,105.0724183
28,50,1250,4911,382,889,784,1176,1568,1960,2352,3.927277318,109.9637649
29,50,1547,5510,294,1193,841,1261.5,1682,2102.5,2523,3.961752874,114.8908334
30,50,1443,4059,193,835,900,1350,1800,2250,2700,3.995079713,119.8523914
31,50,1602,4657,523,894,961,1441.5,1922,2402.5,2883,4.027331902,124.847289
32,50,1709,4350,333,967,1024,1536,2048,2560,3072,4.058576568,129.8744502
33,50,1646,4977,286,990,1089,1633.5,2178,2722.5,3267,4.088874742,134.9328665
34,50,1865,6158,500,1132,1156,1734,2312,2890,3468,4.118282072,140.0215904
35,50,2058,7553,584,1359,1225,1837.5,2450,3062.5,3675,4.146849441,145.1397304
36,50,2663,10842,431,2192,1296,1944,2592,3240,3888,4.174623492,150.2864457
37,50,2177,7331,526,1395,1369,2053.5,2738,3422.5,4107,4.201647091,155.4609424
38,50,2476,7797,510,1558,1444,2166,2888,3610,4332,4.227959719,160.6624693
39,50,2414,5143,640,1244,1521,2281.5,3042,3802.5,4563,4.253597824,165.8903151
40,50,2821,8490,709,1729,1600,2400,3200,4000,4800,4.278595119,171.1438048
41,50,2698,9626,801,1808,1681,2521.5,3362,4202.5,5043,4.302982854,176.422297
42,50,2817,7034,658,1619,1764,2646,3528,4410,5292,4.326790045,181.7251819
43,50,2807,10098,669,1807,1849,2773.5,3698,4622.5,5547,4.350043688,187.0518786
44,50,2772,6798,823,1541,1936,2904,3872,4840,5808,4.372768935,192.4018331
45,50,3350,8570,788,2018,2025,3037.5,4050,5062.5,6075,4.394989266,197.774517
46,50,3356,9880,522,1984,2116,3174,4232,5290,6348,4.416726627,203.1694248
47,50,3613,17297,729,2781,2209,3313.5,4418,5522.5,6627,4.438001564,208.5860735
48,50,3606,9124,1062,2154,2304,3456,4608,5760,6912,4.458833342,214.0240004
49,50,3970,16934,1186,2703,2401,3601.5,4802,6002.5,7203,4.479240045,219.4827622
50,50,4085,9467,1038,2328,2500,3750,5000,6250,7500,4.49923867,224.9619335
51,50,5191,18569,1303,3786,2601,3901.5,5202,6502.5,7803,4.518845219,230.4611062
52,50,4152,12132,799,2442,2704,4056,5408,6760,8112,4.538074768,235.9798879
53,50,4069,10936,1085,2071,2809,4213.5,5618,7022.5,8427,4.556941541,241.5179017
54,50,4735,13094,1241,2491,2916,4374,5832,7290,8748,4.575458971,247.0747844
55,50,4925,14504,734,3317,3025,4537.5,6050,7562.5,9075,4.593639759,252.6501868
56,50,5175,18816,622,3495,3136,4704,6272,7840,9408,4.611495927,258.2437719
57,50,5189,16000,1747,3250,3249,4873.5,6498,8122.5,9747,4.629038863,263.8552152
58,50,5712,14190,1431,3263,3364,5046,6728,8410,10092,4.646279365,269.4842032
59,50,5892,14077,1371,2856,3481,5221.5,6962,8702.5,10443,4.663227685,275.1304334
60,50,5767,16380,1074,3466,3600,5400,7200,9000,10800,4.67989356,280.7936136
61,10,7661,20379,2564,5836,3721,5581.5,7442,9302.5,11163,4.69628625,286.4734613
62,10,6640,14279,1962,4042,3844,5766,7688,9610,11532,4.712414566,292.1697031
63,10,8198,14869,2682,4248,3969,5953.5,7938,9922.5,11907,4.728286899,297.8820747
64,,,,,,4096,6144,8192,10240,12288,4.743911248,303.6103199
65,,,,,,4225,6337.5,8450,10562.5,12675,4.759295242,309.3541908
