n,num_trials,upper_bound,sample_mean,lower_bound
2,100,4.30886266,4,4
3,100,13.68326561,11,9
4,100,29.47991392,22,20
5,100,46.06236551,40,31.25
6,100,66.32980633,56,45
7,100,90.28223639,71,61.25
8,100,117.9196557,91,80
9,100,149.2420642,129,101.25
10,100,184.249462,143,125
11,100,252.7097131,190,164.69431
12,100,300.7454437,229,195.99984
13,100,352.9581944,293,230.02759
14,100,409.3479651,292,266.77756
15,100,469.9147559,353,306.24975
16,100,534.6585667,433,348.44416
17,100,603.5793975,507,393.36079
18,100,676.6772484,576,440.99964
19,100,753.9521194,558,491.36071
20,100,835.4040104,653,544.444
21,50,921.0329215,730,600.24951
22,50,1010.838853,789,658.77724
23,50,1104.821804,884,720.02719
24,50,1202.981775,981,783.99936
25,50,1305.318766,990,850.69375
26,50,1411.832778,1067,920.11036
27,50,1522.523809,1179,992.24919
28,50,1637.39186,1250,1067.11024
29,50,1756.436932,1547,1144.69351
30,50,1879.659023,1443,1224.999
31,50,2197.474088,1602,1368.08921
32,50,2341.533263,1709,1457.77664
33,50,2490.165746,1646,1550.31129
34,50,2643.371535,1865,1645.69316
35,50,2801.150632,2058,1743.92225
36,50,2963.503036,2663,1844.99856
37,50,3130.428747,2177,1948.92209
38,50,3301.927766,2476,2055.69284
39,50,3478.000091,2414,2165.31081
40,50,3658.645724,2821,2277.776
41,50,3843.864663,2698,2393.08841
42,50,4033.65691,2817,2511.24804
43,50,4228.022464,2807,2632.25489
44,50,4426.961326,2772,2756.10896
45,50,4630.473494,3350,2882.81025
46,50,4838.55897,3356,3012.35876
47,50,5051.217752,3613,3144.75449
48,50,5268.449842,3606,3279.99744
49,50,5490.255239,3970,3418.08761
50,50,5716.633943,4085,3559.025
51,50,5947.585955,5191,3702.80961
52,50,6183.111273,4152,3849.44144
53,50,6423.209899,4069,3998.92049
54,50,6667.881832,4735,4151.24676
55,50,6917.127071,4925,4306.42025
56,50,7170.945619,5175,4464.44096
57,50,7429.337473,5189,4625.30889
58,50,7692.302634,5712,4789.02404
59,50,7959.841103,5892,4955.58641
60,50,8231.952878,5767,5124.996
61,10,8508.637961,7661,5297.25281
62,10,8789.896351,6640,5472.35684
63,10,9075.728048,,5650.30809
64,,9366.133053,,5831.10656
65,,9661.111364,,6014.75225
66,,9960.662983,,6201.24516
67,,10264.78791,,6390.58529
68,,10573.48614,,6582.77264
69,,10886.75768,,6777.80721
70,,11204.60253,,6975.689
71,,11527.02068,,7176.41801
72,,11854.01214,,7379.99424
73,,12185.57691,,7586.41769
74,,12521.71499,,7795.68836
75,,12862.42637,,8007.80625
76,,13207.71106,,8222.77136
77,,13557.56906,,8440.58369
78,,13912.00036,,8661.24324
79,,14271.00498,,8884.75001
80,,14634.58289,,9111.104
81,,15002.73412,,9340.30521
82,,15375.45865,,9572.35364
83,,16893.95303,,10082.80929
84,,17303.48855,,10327.23216
85,,17717.92868,,10574.58225
86,,18137.27343,,10824.85956
87,,18561.52279,,11078.06409
88,,18990.67677,,11334.19584
89,,19424.73537,,11593.25481
90,,19863.69859,,11855.241
91,,20307.56642,,12120.15441
92,,20756.33887,,12387.99504
93,,21210.01594,,12658.76289
94,,21668.59762,,12932.45796
95,,22132.08392,,13209.08025
96,,22600.47484,,13488.62976
97,,23073.77037,,13771.10649
98,,23551.97052,,14056.51044
99,,24035.07529,,14344.84161
100,,24523.08467,,14636.1
