n,trials,mean_samples,max,min,std
10,100,45,149,13,24
11,100,49,129,17,21
12,100,59,217,23,28
13,100,64,177,28,27
14,100,71,165,24,28
15,100,115,275,30,46
16,100,117,274,46,46
17,100,131,345,43,51
18,100,140,377,50,62
19,100,152,373,55,66
20,100,218,577,60,91
21,100,210,477,72,86
22,100,227,554,78,99
23,100,243,565,89,96
24,100,251,567,86,93
25,100,333,725,101,130
26,100,355,920,102,162
27,100,372,881,141,138
28,100,375,1196,136,151
29,100,383,910,148,162
30,100,514,1205,170,213
31,100,523,1298,158,231
32,100,546,1296,182,243
33,100,572,1505,172,229
34,100,558,1502,208,231
35,100,672,1662,301,277
36,100,704,2849,231,345
37,100,687,2187,273,325
38,100,756,1699,250,295
39,100,803,2166,234,376
40,100,875,1805,301,325
41,100,864,2443,260,383
42,100,900,2380,374,398
43,100,937,2434,368,368
44,100,1035,2656,349,426
45,100,1201,2726,447,511
46,100,1159,2784,446,444
47,100,1225,3104,629,482
48,100,1166,2339,578,421
49,100,1258,3430,525,506
50,100,1436,3061,458,580
51,100,1484,4054,606,665
52,100,1490,3603,557,677
53,100,1561,3606,454,641
54,100,1467,3514,670,565
55,100,1698,4802,547,728
56,100,1637,5224,699,764
57,100,1706,3816,640,659
58,100,1745,4421,612,673
59,100,1821,6065,752,818
60,100,2187,5035,668,887
61,100,2154,6350,894,942
62,100,2069,6284,823,901
63,100,2061,4555,708,781
64,100,2144,5354,756,863
65,100,2443,6410,647,968
66,100,2474,7338,764,1188
67,100,2493,6183,956,1061
68,100,2470,6192,847,1048
69,100,2517,9334,856,1163
70,100,2915,6921,1065,1254
71,100,2692,8057,1174,1267
72,100,2824,7842,1074,1289
73,100,2779,7120,1107,1132
74,100,3272,12550,1055,1825
75,100,3228,7203,1364,1251
76,100,3111,9438,1311,1236
77,100,3229,7213,1006,1186
78,100,3246,8460,1338,1304
79,100,3375,7399,906,1333
80,100,3868,14132,1293,1863
81,100,3428,8895,1466,1359
82,100,3653,7926,1691,1514
83,100,3702,11053,1395,1656
84,100,3999,10265,1400,1576
85,100,4153,9635,1563,1734
86,100,4373,13847,1214,2018
87,100,4162,13602,1449,2029
88,100,4108,8510,1473,1567
89,100,4253,11389,1411,1981
90,100,4465,10333,1837,1723
91,100,5014,15120,1784,2433
92,100,4476,13232,1620,2071
93,100,4273,11810,1714,1908
94,100,5199,10888,2023,1862
95,100,5597,12737,2200,2286
96,100,5355,12547,1291,2058
97,100,5005,11026,1680,1855
98,100,5067,20331,2123,2644
99,100,5311,9876,2011,1968
