,action,honest_clients,malicious_clients,proxy_name,system_health,time,total_blocked,total_healthy
0,PROXY_BLOCK,2,2,Proxy 0,90.0,50.0,1,9
1,PROXY_BLOCK,1,1,Proxy 8,80.0,50.77264583931672,2,8
2,PROXY_BLOCK,0,2,Proxy 7,70.0,51.974442347893934,3,7
3,PROXY_BLOCK,3,2,Proxy 2,60.0,51.98448382925783,4,6
4,PROXY_BLOCK,0,2,Proxy 1,50.0,52.62893782384908,5,5
5,PROXY_BLOCK,0,3,Proxy 3,40.0,52.96590593159573,6,4
6,PROXY_BLOCK,2,2,Proxy 5,30.000000000000004,53.321191970065534,7,3
7,PROXY_BLOCK,0,3,Proxy 4,19.999999999999996,57.09937795034367,8,2
8,PROXY_BLOCK,4,3,Proxy 9,9.999999999999998,58.13881683896675,9,1
9,PROXY_DEATH,3,2,Proxy 6,0.0,60.4863652850745,10,0
10,ENUMERATE_PROXY,-1,-1,Proxy 4,-1.0,0.0,-1,-1
11,ENUMERATE_PROXY,-1,-1,Proxy 7,-1.0,6.408287233881008,-1,-1
12,ENUMERATE_PROXY,-1,-1,Proxy 2,-1.0,9.865630381823978,-1,-1
13,ENUMERATE_PROXY,-1,-1,Proxy 1,-1.0,11.885628211197227,-1,-1
14,MISS_ENUMERATE_PROXY,-1,-1,Proxy 4,-1.0,11.985941863926364,-1,-1
15,ENUMERATE_PROXY,-1,-1,Proxy 0,-1.0,12.629879962928019,-1,-1
16,MISS_ENUMERATE_PROXY,-1,-1,Proxy 1,-1.0,15.009474096460854,-1,-1
17,MISS_ENUMERATE_PROXY,-1,-1,Proxy 7,-1.0,15.258162046153224,-1,-1
18,ENUMERATE_PROXY,-1,-1,Proxy 5,-1.0,21.132049618429093,-1,-1
19,ENUMERATE_PROXY,-1,-1,Proxy 9,-1.0,23.203127430221066,-1,-1
20,MISS_ENUMERATE_PROXY,-1,-1,Proxy 2,-1.0,23.750793492291255,-1,-1
21,ENUMERATE_PROXY,-1,-1,Proxy 3,-1.0,34.36516766178,-1,-1
22,MISS_ENUMERATE_PROXY,-1,-1,Proxy 3,-1.0,38.137814118960904,-1,-1
23,MISS_ENUMERATE_PROXY,-1,-1,Proxy 3,-1.0,44.517413968570395,-1,-1
24,ENUMERATE_PROXY,-1,-1,Proxy 8,-1.0,47.97762736397897,-1,-1
25,MISS_ENUMERATE_PROXY,-1,-1,Proxy 5,-1.0,48.10397737642533,-1,-1
26,MISS_ENUMERATE_PROXY,-1,-1,Proxy 9,-1.0,48.72791781586375,-1,-1
27,MISS_ENUMERATE_PROXY,-1,-1,Proxy 0,-1.0,49.80189811912766,-1,-1
28,MISS_ENUMERATE_PROXY,-1,-1,Proxy 4,-1.0,50.74554321119284,-1,-1
29,MISS_ENUMERATE_PROXY,-1,-1,Proxy 9,-1.0,56.509639367101876,-1,-1
30,ENUMERATE_PROXY,-1,-1,Proxy 6,-1.0,58.54866458252087,-1,-1
31,MISS_ENUMERATE_PROXY,-1,-1,Proxy 6,-1.0,60.435427830903315,-1,-1
